RequestID,OperationType,Time_ns
1,PUT,25500
2,PUT,1200
3,GET,4000
4,GET,6500
5,PUT,1000
6,GET,1100
7,GET,800
8,GET,500
9,GET,800
10,GET,500
11,GET,800
12,PUT,900
13,GET,300
14,GET,500
15,GET,200
16,GET,600
17,GET,600
18,GET,200
19,GET,200
20,PUT,12000
21,GET,400
22,PUT,1100
23,GET,200
24,GET,300
25,PUT,1600
26,GET,800
27,GET,600
28,GET,500
29,PUT,1000
30,GET,800
31,GET,300
32,PUT,900
33,GET,700
34,PUT,1500
35,GET,600
36,GET,200
37,GET,600
38,GET,500
39,PUT,700
40,PUT,1000
41,GET,600
42,GET,600
43,GET,1000
44,PUT,900
45,PUT,800
46,GET,800
47,GET,800
48,GET,300
49,GET,200
50,PUT,800
51,GET,700
52,GET,500
53,GET,200
54,GET,600
55,GET,300
56,PUT,1400
57,GET,200
58,GET,600
59,GET,200
60,GET,600
61,GET,500
62,GET,500
63,GET,700
64,GET,600
65,GET,200
66,GET,200
67,GET,200
68,GET,700
69,GET,800
70,PUT,1300
71,PUT,1100
72,GET,700
73,GET,200
74,GET,200
75,GET,4200
76,PUT,1100
77,GET,300
78,GET,1300
79,GET,1000
80,GET,1000
81,GET,900
82,GET,600
83,PUT,1400
84,GET,400
85,GET,700
86,GET,1300
87,GET,400
88,PUT,2300
89,GET,500
90,PUT,2400
91,GET,500
92,GET,300
93,PUT,2000
94,GET,1600
95,GET,500
96,GET,400
97,GET,1300
98,GET,1100
99,PUT,1700
100,GET,1100
101,GET,400
102,PUT,2300
103,GET,600
104,PUT,1600
105,PUT,2100
106,PUT,2200
107,GET,1400
108,GET,1400
109,PUT,1400
110,GET,500
111,GET,1200
112,GET,600
113,GET,1500
114,GET,1100
115,GET,3000
116,GET,1300
117,GET,1100
118,GET,500
119,GET,1000
120,GET,500
121,GET,1000
122,GET,1000
123,GET,1200
124,PUT,1800
125,PUT,1600
126,PUT,1700
127,GET,1700
128,GET,500
129,GET,2000
130,GET,1100
131,GET,800
132,GET,900
133,GET,1100
134,GET,1100
135,GET,1100
136,GET,500
137,GET,900
138,PUT,4700
139,GET,1100
140,PUT,1600
141,GET,500
142,GET,500
143,PUT,1500
144,PUT,3600
145,GET,500
146,GET,400
147,PUT,2200
148,GET,1200
149,GET,300
150,GET,300
151,GET,400
152,GET,1200
153,GET,500
154,GET,1000
155,GET,1100
156,GET,400
157,GET,500
158,GET,500
159,GET,400
160,PUT,2400
161,GET,500
162,GET,1200
163,PUT,1800
164,PUT,1600
165,PUT,2200
166,GET,1400
167,GET,1100
168,GET,1200
169,GET,18400
170,GET,400
171,GET,700
172,PUT,3800
173,GET,400
174,PUT,1700
175,GET,300
176,GET,400
177,GET,1300
178,GET,1000
179,PUT,1300
180,GET,1000
181,GET,900
182,GET,900
183,GET,500
184,GET,1300
185,PUT,1800
186,GET,1100
187,PUT,2100
188,GET,2700
189,GET,600
190,GET,1500
191,GET,500
192,GET,300
193,GET,300
194,GET,1100
195,PUT,1900
196,GET,600
197,GET,1100
198,PUT,2000
199,GET,500
200,PUT,1600
201,GET,700
202,GET,1000
203,GET,1100
204,GET,500
205,GET,1000
206,GET,1400
207,GET,600
208,PUT,2400
209,GET,400
210,PUT,1600
211,GET,400
212,GET,1100
213,PUT,2100
214,GET,400
215,GET,1400
216,PUT,1600
217,GET,1000
218,GET,800
219,PUT,1400
220,GET,400
221,GET,300
222,PUT,2400
223,GET,500
224,PUT,1700
225,PUT,1900
226,GET,1100
227,PUT,2000
228,PUT,1400
229,GET,1000
230,GET,1000
231,GET,500
232,GET,1000
233,PUT,1900
234,GET,500
235,GET,400
236,GET,29700
237,GET,1500
238,GET,2100
239,GET,600
240,GET,1400
241,GET,600
242,GET,500
243,GET,1400
244,GET,900
245,GET,1400
246,GET,900
247,GET,400
248,GET,300
249,GET,1100
250,GET,400
251,GET,300
252,GET,300
253,GET,1000
254,PUT,3100
255,GET,500
256,GET,1500
257,GET,1300
258,GET,1300
259,GET,500
260,PUT,4000
261,GET,400
262,GET,1100
263,GET,900
264,GET,900
265,PUT,2700
266,PUT,1400
267,GET,400
268,GET,600
269,GET,300
270,GET,600
271,GET,500
272,PUT,2100
273,GET,400
274,PUT,2000
275,GET,1100
276,PUT,1700
277,PUT,1700
278,GET,1100
279,GET,700
280,PUT,1600
281,PUT,1300
282,GET,1200
283,GET,400
284,GET,900
285,PUT,1900
286,PUT,1300
287,GET,400
288,PUT,1400
289,PUT,1200
290,PUT,1400
291,GET,900
292,GET,300
293,GET,900
294,GET,900
295,GET,500
296,GET,1000
297,GET,1100
298,GET,400
299,PUT,2400
300,PUT,1800
301,GET,700
302,PUT,900
303,GET,600
304,GET,200
305,PUT,1000
306,GET,600
307,PUT,700
308,GET,400
309,GET,900
310,GET,400
311,GET,600
312,PUT,1900
313,GET,1000
314,GET,900
315,GET,1200
316,GET,500
317,PUT,1400
318,GET,1400
319,GET,400
320,PUT,1400
321,GET,1100
322,GET,400
323,GET,800
324,GET,300
325,PUT,900
326,GET,800
327,PUT,1100
328,GET,200
329,GET,500
330,PUT,900
331,GET,200
332,GET,200
333,GET,400
334,GET,300
335,PUT,700
336,PUT,800
337,PUT,900
338,GET,200
339,PUT,900
340,GET,300
341,PUT,800
342,GET,400
343,PUT,1900
344,GET,400
345,GET,1200
346,GET,400
347,GET,500
348,GET,3300
349,PUT,5400
350,GET,1300
351,PUT,1900
352,GET,200
353,GET,300
354,PUT,800
355,GET,200
356,PUT,900
357,GET,700
358,PUT,700
359,GET,500
360,GET,1000
361,GET,1900
362,GET,1100
363,GET,800
364,PUT,1700
365,GET,900
366,GET,700
367,PUT,1600
368,GET,300
369,GET,300
370,PUT,1200
371,GET,800
372,PUT,1500
373,GET,900
374,GET,800
375,GET,900
376,GET,300
377,GET,800
378,PUT,1700
379,PUT,1500
380,GET,800
381,PUT,1200
382,GET,1000
383,GET,900
384,GET,1200
385,GET,700
386,GET,400
387,GET,1000
388,GET,300
389,GET,300
390,GET,1500
391,GET,400
392,GET,300
393,GET,1100
394,PUT,2600
395,PUT,1000
396,PUT,800
397,GET,300
398,PUT,700
399,GET,500
400,GET,300
401,GET,600
402,GET,600
403,GET,300
404,GET,700
405,GET,500
406,GET,300
407,PUT,1200
408,GET,600
409,PUT,1500
410,GET,900
411,GET,900
412,GET,300
413,GET,300
414,PUT,2100
415,GET,1000
416,PUT,1800
417,GET,1000
418,GET,200
419,PUT,1000
420,GET,600
421,PUT,900
422,GET,300
423,GET,500
424,GET,700
425,PUT,700
426,GET,200
427,GET,700
428,GET,200
429,GET,1000
430,PUT,1800
431,GET,400
432,GET,1400
433,GET,1000
434,GET,1100
435,PUT,1400
436,GET,600
437,GET,500
438,GET,200
439,GET,200
440,PUT,1000
441,GET,500
442,GET,500
443,PUT,1200
444,GET,300
445,GET,600
446,GET,500
447,PUT,800
448,PUT,800
449,GET,700
450,GET,300
451,GET,200
452,PUT,800
453,GET,200
454,GET,600
455,GET,500
456,PUT,2100
457,GET,900
458,PUT,1600
459,PUT,1300
460,GET,400
461,GET,400
462,GET,1000
463,GET,500
464,PUT,1300
465,GET,800
466,PUT,1000
467,GET,200
468,GET,200
469,GET,600
470,GET,600
471,GET,600
472,PUT,1000
473,GET,400
474,GET,300
475,GET,200
476,GET,600
477,PUT,1000
478,GET,300
479,GET,200
480,PUT,900
481,GET,200
482,GET,600
483,GET,700
484,GET,200
485,PUT,900
486,GET,300
487,GET,700
488,PUT,700
489,GET,500
490,GET,200
491,GET,600
492,GET,200
493,GET,400
494,GET,700
495,PUT,900
496,GET,500
497,GET,200
498,GET,500
499,GET,200
500,PUT,700
501,GET,600
502,PUT,700
503,PUT,800
504,GET,200
505,PUT,1200
506,GET,500
507,GET,200
508,PUT,1700
509,GET,1400
510,GET,600
511,GET,700
512,GET,300
513,GET,300
514,PUT,1600
515,PUT,1000
516,PUT,800
517,GET,1300
518,PUT,700
519,PUT,700
520,PUT,1000
521,PUT,1000
522,GET,1000
523,GET,400
524,GET,300
525,GET,1100
526,GET,300
527,GET,300
528,GET,500
529,PUT,1500
530,PUT,1100
531,GET,1400
532,GET,600
533,GET,500
534,GET,700
535,GET,500
536,GET,200
537,GET,300
538,GET,200
539,GET,200
540,GET,200
541,GET,200
542,GET,200
543,GET,200
544,PUT,900
545,GET,200
546,GET,600
547,GET,200
548,PUT,900
549,PUT,1200
550,PUT,1000
551,GET,800
552,GET,300
553,GET,300
554,GET,600
555,GET,200
556,GET,300
557,PUT,1200
558,GET,200
559,GET,500
560,GET,600
561,GET,600
562,GET,200
563,GET,600
564,GET,200
565,GET,200
566,PUT,1000
567,PUT,900
568,GET,600
569,GET,600
570,GET,200
571,PUT,900
572,GET,200
573,PUT,800
574,PUT,900
575,GET,200
576,GET,600
577,PUT,800
578,PUT,800
579,PUT,700
580,GET,200
581,GET,500
582,PUT,900
583,GET,500
584,GET,200
585,GET,200
586,GET,700
587,PUT,800
588,PUT,800
589,GET,600
590,PUT,1200
591,GET,400
592,GET,200
593,GET,500
594,GET,600
595,GET,600
596,PUT,1000
597,GET,300
598,GET,300
599,GET,200
600,GET,200
601,GET,600
602,GET,600
603,PUT,1700
604,GET,600
605,GET,300
606,PUT,1000
607,GET,600
608,GET,600
609,PUT,900
610,PUT,900
611,GET,700
612,GET,200
613,GET,200
614,GET,200
615,GET,200
616,GET,600
617,PUT,1000
618,GET,600
619,GET,500
620,GET,1100
621,PUT,1900
622,GET,400
623,GET,900
624,PUT,2500
625,GET,300
626,PUT,900
627,GET,800
628,GET,700
629,PUT,700
630,PUT,900
631,PUT,1000
632,GET,600
633,PUT,800
634,GET,500
635,PUT,1000
636,PUT,900
637,GET,300
638,GET,200
639,GET,300
640,GET,300
641,GET,600
642,GET,200
643,GET,900
644,PUT,900
645,GET,600
646,GET,200
647,GET,200
648,GET,200
649,GET,200
650,GET,1100
651,GET,300
652,GET,200
653,PUT,1400
654,GET,700
655,GET,300
656,GET,600
657,PUT,900
658,GET,600
659,GET,500
660,PUT,700
661,PUT,1500
662,GET,200
663,PUT,900
664,PUT,900
665,GET,300
666,PUT,700
667,PUT,900
668,PUT,800
669,GET,500
670,GET,500
671,GET,500
672,PUT,800
673,PUT,800
674,GET,800
675,GET,700
676,GET,600
677,GET,300
678,GET,500
679,GET,600
680,GET,200
681,GET,200
682,GET,200
683,PUT,700
684,GET,800
685,GET,400
686,GET,200
687,GET,600
688,PUT,1200
689,GET,600
690,GET,300
691,PUT,1100
692,GET,300
693,GET,300
694,GET,200
695,GET,300
696,GET,300
697,PUT,1000
698,PUT,700
699,PUT,1000
700,GET,200
701,GET,200
702,GET,400
703,PUT,1000
704,GET,600
705,GET,300
706,GET,600
707,PUT,800
708,GET,800
709,GET,700
710,PUT,1000
711,PUT,700
712,PUT,900
713,GET,300
714,GET,5200
715,PUT,1400
716,GET,600
717,GET,400
718,PUT,1100
719,GET,900
720,PUT,2200
721,GET,400
722,GET,800
723,GET,400
724,PUT,1300
725,GET,500
726,GET,400
727,GET,800
728,GET,300
729,GET,500
730,GET,500
731,GET,200
732,PUT,600
733,PUT,1200
734,GET,500
735,PUT,700
736,GET,200
737,GET,4500
738,GET,500
739,GET,300
740,GET,300
741,PUT,600
742,GET,500
743,GET,500
744,PUT,1000
745,PUT,1000
746,GET,600
747,GET,400
748,GET,200
749,GET,200
750,PUT,700
751,PUT,600
752,GET,700
753,GET,400
754,PUT,900
755,GET,400
756,PUT,1000
757,GET,200
758,GET,400
759,PUT,600
760,GET,600
761,GET,400
762,GET,700
763,PUT,1100
764,GET,300
765,GET,300
766,GET,700
767,GET,600
768,GET,1000
769,GET,300
770,GET,300
771,GET,700
772,GET,400
773,GET,300
774,GET,600
775,PUT,2000
776,GET,400
777,GET,5500
778,PUT,1900
779,PUT,1200
780,PUT,1000
781,GET,700
782,PUT,1500
783,GET,1000
784,PUT,2800
785,GET,700
786,GET,400
787,GET,300
788,PUT,1300
789,GET,400
790,GET,400
791,GET,800
792,GET,800
793,GET,700
794,GET,400
795,PUT,1200
796,GET,900
797,PUT,2300
798,GET,400
799,GET,800
800,GET,400
801,GET,500
802,GET,500
803,PUT,600
804,PUT,1000
805,GET,200
806,PUT,500
807,GET,400
808,PUT,1000
809,PUT,600
810,GET,200
811,GET,200
812,GET,400
813,PUT,800
814,PUT,900
815,GET,600
816,GET,200
817,GET,400
818,GET,300
819,PUT,600
820,GET,500
821,GET,400
822,PUT,600
823,GET,900
824,GET,600
825,PUT,1200
826,GET,400
827,PUT,1000
828,GET,400
829,PUT,1200
830,GET,400
831,GET,1400
832,GET,300
833,PUT,2400
834,GET,900
835,PUT,1900
836,GET,700
837,GET,600
838,PUT,1400
839,GET,500
840,GET,400
841,GET,800
842,GET,400
843,GET,900
844,GET,300
845,GET,800
846,GET,600
847,PUT,1000
848,GET,700
849,GET,600
850,PUT,1900
851,GET,300
852,GET,300
853,GET,900
854,PUT,2400
855,GET,700
856,GET,800
857,GET,300
858,PUT,900
859,GET,600
860,GET,600
861,PUT,1600
862,PUT,1600
863,GET,300
864,GET,800
865,GET,800
866,GET,300
867,PUT,8800
868,GET,1100
869,GET,500
870,GET,1000
871,GET,300
872,PUT,5900
873,GET,600
874,GET,500
875,GET,1200
876,GET,2800
877,GET,2500
878,PUT,3300
879,GET,600
880,GET,400
881,GET,1100
882,GET,800
883,PUT,1400
884,PUT,5000
885,GET,600
886,PUT,1500
887,GET,1200
888,GET,600
889,GET,1100
890,GET,800
891,GET,500
892,GET,900
893,GET,900
894,PUT,3400
895,GET,4800
896,GET,600
897,GET,1300
898,GET,300
899,GET,700
900,GET,1100
901,GET,800
902,PUT,1400
903,GET,500
904,GET,400
905,GET,800
906,GET,700
907,GET,1100
908,GET,400
909,GET,300
910,PUT,2800
911,GET,800
912,GET,700
913,GET,700
914,GET,900
915,GET,1100
916,PUT,1500
917,GET,900
918,GET,400
919,PUT,1300
920,GET,400
921,GET,600
922,PUT,2800
923,GET,500
924,GET,400
925,GET,300
926,GET,400
927,GET,400
928,GET,1100
929,GET,500
930,GET,600
931,PUT,1500
932,GET,500
933,GET,300
934,GET,300
935,GET,800
936,PUT,1400
937,GET,600
938,GET,300
939,GET,700
940,GET,400
941,PUT,1200
942,PUT,1000
943,PUT,2100
944,PUT,5900
945,GET,1200
946,PUT,1000
947,GET,800
948,GET,300
949,GET,1000
950,GET,900
951,GET,800
952,GET,600
953,GET,300
954,GET,400
955,GET,300
956,GET,300
957,PUT,1000
958,GET,500
959,GET,800
960,PUT,2500
961,GET,400
962,GET,900
963,PUT,2000
964,GET,400
965,GET,300
966,PUT,800
967,PUT,700
968,GET,200
969,GET,200
970,GET,200
971,GET,300
972,PUT,1300
973,GET,2800
974,PUT,1100
975,PUT,2000
976,GET,900
977,GET,400
978,GET,400
979,PUT,1100
980,GET,300
981,GET,700
982,PUT,2400
983,PUT,1000
984,GET,700
985,GET,300
986,GET,700
987,PUT,1300
988,GET,900
989,GET,800
990,GET,500
991,GET,400
992,PUT,1800
993,GET,400
994,PUT,23100
995,GET,1300
996,PUT,2000
997,PUT,5000
998,GET,700
999,PUT,3000
1000,GET,1700
1001,GET,600
1002,GET,400
1003,GET,700
1004,GET,1100
1005,GET,300
1006,GET,200
1007,GET,200
1008,GET,500
1009,GET,600
1010,GET,500
1011,PUT,1400
1012,GET,600
1013,PUT,1000
1014,GET,600
1015,GET,300
1016,GET,500
1017,GET,200
1018,PUT,900
1019,PUT,700
1020,PUT,700
1021,GET,400
1022,PUT,600
1023,GET,300
1024,GET,300
1025,GET,1000
1026,GET,700
1027,GET,400
1028,GET,300
1029,PUT,1700
1030,PUT,800
1031,PUT,1000
1032,GET,400
1033,GET,300
1034,PUT,500
1035,GET,200
1036,GET,300
1037,GET,300
1038,GET,700
1039,GET,500
1040,PUT,800
1041,GET,400
1042,PUT,900
1043,PUT,900
1044,GET,400
1045,GET,500
1046,PUT,600
1047,PUT,500
1048,GET,300
1049,GET,600
1050,GET,400
1051,PUT,600
1052,GET,200
1053,GET,500
1054,GET,300
1055,PUT,500
1056,GET,200
1057,PUT,600
1058,PUT,700
1059,GET,300
1060,PUT,800
1061,GET,500
1062,GET,400
1063,GET,400
1064,GET,200
1065,GET,200
1066,GET,400
1067,GET,200
1068,GET,500
1069,GET,200
1070,GET,400
1071,GET,500
1072,GET,1100
1073,GET,300
1074,PUT,600
1075,GET,300
1076,PUT,900
1077,PUT,1000
1078,GET,300
1079,GET,200
1080,GET,400
1081,GET,200
1082,PUT,2300
1083,PUT,1100
1084,GET,800
1085,GET,300
1086,GET,500
1087,GET,200
1088,GET,300
1089,GET,500
1090,GET,400
1091,GET,300
1092,PUT,700
1093,GET,500
1094,GET,200
1095,GET,500
1096,GET,300
1097,GET,400
1098,GET,400
1099,GET,200
1100,GET,500
1101,GET,300
1102,GET,500
1103,GET,200
