RequestID,OperationType,Time_ns
1,GET,11200
2,GET,40400
3,PUT,364100
4,PUT,7201
5,GET,2801
6,GET,1499
7,PUT,3100
8,GET,899
9,GET,1699
10,GET,900
11,PUT,2201
12,GET,300
13,GET,400
14,PUT,1601
15,PUT,37200
16,GET,5600
17,GET,1700
18,GET,901
19,GET,1499
20,GET,500
21,GET,399
22,GET,601
23,GET,400
24,GET,400
25,GET,500
26,GET,401
27,GET,400
28,GET,600
29,GET,500
30,PUT,20899
31,PUT,3200
32,GET,700
33,PUT,2200
34,PUT,1699
35,GET,1800
36,PUT,1600
37,GET,500
38,PUT,2500
39,GET,499
40,GET,1200
41,GET,1200
42,GET,1200
43,GET,2499
44,PUT,4200
45,GET,500
46,PUT,1801
47,GET,1100
48,PUT,1701
49,GET,401
50,PUT,2200
51,GET,700
52,PUT,2800
53,GET,600
54,GET,500
55,PUT,2100
56,GET,1100
57,PUT,2701
58,GET,1200
59,GET,1500
60,PUT,2301
61,PUT,2899
62,GET,399
63,GET,700
64,PUT,2200
65,PUT,2201
66,GET,1301
67,GET,400
68,GET,1300
69,GET,399
70,GET,1101
71,GET,800
72,GET,1501
73,PUT,33001
74,GET,4300
75,GET,24501
76,GET,1399
77,GET,2400
78,PUT,15000
79,GET,1300
80,GET,500
81,PUT,3501
82,GET,2900
83,GET,1000
84,GET,3200
85,GET,901
86,PUT,19100
87,GET,2699
88,PUT,36200
89,GET,3600
90,PUT,8300
91,GET,1800
92,PUT,2499
93,PUT,3000
94,GET,1400
95,GET,500
96,GET,1501
97,GET,600
98,PUT,2200
99,GET,1100
100,GET,1200
101,GET,1800
102,GET,500
103,GET,399
104,GET,1300
105,GET,800
106,GET,500
107,PUT,2699
108,GET,700
109,PUT,2400
110,GET,1300
111,GET,500
112,GET,1499
113,PUT,2700
114,GET,1400
115,GET,1300
116,GET,600
117,GET,600
118,GET,1300
119,GET,401
120,GET,401
121,GET,1300
122,GET,1000
123,GET,500
124,GET,1300
125,GET,699
126,PUT,13800
127,PUT,12701
128,PUT,5100
129,GET,2100
130,PUT,3900
131,PUT,2600
132,PUT,1699
133,PUT,2400
134,GET,276800
135,GET,1800
136,PUT,9199
137,PUT,2600
138,GET,500
139,GET,4600
140,GET,1800
141,PUT,2000
142,GET,500
143,PUT,2000
144,GET,399
145,PUT,2001
146,GET,500
147,PUT,2800
148,GET,1600
149,PUT,2200
150,GET,401
151,GET,499
152,GET,300
153,GET,400
154,PUT,2499
155,PUT,2099
156,GET,300
157,GET,1200
158,PUT,2099
159,GET,400
160,PUT,1900
161,GET,1600
162,GET,600
163,PUT,107800
164,GET,3001
165,PUT,26199
166,PUT,11101
167,GET,4300
168,GET,1300
169,PUT,7000
170,PUT,5300
171,GET,1200
172,GET,2600
173,GET,17399
174,PUT,10201
175,GET,2701
176,GET,500
177,PUT,3399
178,GET,1200
179,GET,1101
180,PUT,3800
181,PUT,3201
182,GET,1900
183,GET,1301
184,GET,500
185,PUT,3001
186,GET,1200
187,PUT,2000
188,GET,400
189,GET,1100
190,GET,1100
191,PUT,1700
192,GET,500
193,GET,5000
194,GET,599
195,PUT,2000
196,GET,3800
197,GET,1700
198,GET,1101
199,GET,900
200,PUT,3300
201,GET,601
202,PUT,2200
203,GET,1300
204,GET,900
205,GET,1000
206,GET,1100
207,PUT,2100
208,GET,1101
209,PUT,3800
210,GET,401
211,GET,300
212,GET,1000
213,GET,800
214,PUT,3001
215,PUT,2499
216,GET,601
217,GET,1200
218,GET,400
219,GET,301
220,PUT,2100
221,GET,1200
222,PUT,2100
223,PUT,2400
224,PUT,2499
225,GET,500
226,GET,199
227,GET,1099
228,GET,300
229,GET,799
230,GET,1000
231,GET,1099
232,GET,501
233,GET,399
234,GET,1101
235,GET,900
236,GET,301
237,GET,1301
238,GET,400
239,GET,400
240,GET,400
241,GET,1500
242,GET,500
243,PUT,2199
244,PUT,2900
245,PUT,1599
246,GET,601
247,PUT,2500
248,GET,1800
249,PUT,17001
250,PUT,40200
251,GET,2000
252,GET,2400
253,GET,1600
254,PUT,43501
255,GET,3900
256,PUT,6100
257,GET,1900
258,GET,1200
259,GET,1699
260,GET,1299
261,GET,5500
262,GET,700
263,GET,9700
264,GET,1599
265,PUT,6900
266,GET,1400
267,GET,401
268,GET,1300
269,PUT,2300
270,PUT,2100
271,GET,400
272,PUT,2400
273,GET,1099
274,GET,900
275,GET,1299
276,PUT,2201
277,PUT,2400
278,GET,499
279,GET,1000
280,GET,401
