RequestID,OperationType,Time_ns
1,GET,13400
2,GET,11500
3,GET,1400
4,PUT,31300
5,GET,500
6,PUT,1700
7,PUT,1100
8,GET,1100
9,GET,18200
10,PUT,1200
11,GET,600
12,PUT,1200
13,GET,600
14,GET,200
15,GET,900
16,GET,900
17,GET,200
18,GET,900
19,GET,600
20,GET,300
21,PUT,1000
22,GET,900
23,GET,200
24,GET,900
25,GET,600
26,GET,500
27,PUT,1100
28,GET,600
29,PUT,1100
30,PUT,600
31,PUT,1100
32,PUT,1300
33,GET,700
34,GET,500
35,GET,300
36,GET,600
37,PUT,800
38,GET,500
39,PUT,800
40,GET,500
41,GET,700
42,GET,100
43,PUT,800
44,GET,500
45,GET,200
46,PUT,800
47,GET,400
48,GET,600
49,GET,500
50,GET,700
51,PUT,800
52,GET,700
53,GET,500
54,GET,300
55,GET,200
56,PUT,800
57,PUT,700
58,PUT,900
59,GET,800
60,PUT,900
61,GET,700
62,GET,200
63,GET,600
64,GET,400
65,GET,600
66,GET,300
67,GET,700
68,PUT,600
69,GET,63500
70,PUT,2800
71,GET,800
72,GET,300
73,PUT,2300
74,PUT,1500
75,PUT,1200
76,PUT,1100
77,PUT,1100
78,PUT,800
79,GET,400
80,GET,1000
81,GET,900
82,PUT,900
83,PUT,900
84,GET,300
85,GET,1000
86,GET,600
87,GET,200
88,PUT,1200
89,GET,700
90,GET,300
91,GET,300
92,GET,200
93,PUT,1100
94,GET,700
95,GET,200
96,GET,700
97,GET,900
98,GET,100
99,GET,400
100,GET,100
101,GET,700
102,PUT,800
103,PUT,900
104,PUT,1200
105,GET,500
106,GET,200
107,GET,700
108,GET,1100
109,GET,300
110,GET,200
111,GET,200
112,GET,700
113,PUT,1100
114,PUT,800
115,GET,900
116,GET,600
117,PUT,1200
118,GET,600
119,PUT,800
120,GET,800
121,GET,3700
122,PUT,2600
123,GET,900
124,GET,300
125,PUT,1000
126,GET,700
127,GET,700
128,GET,900
129,PUT,1000
130,GET,1100
131,GET,38000
132,PUT,3000
133,PUT,1700
134,GET,400
135,GET,200
136,GET,1300
137,PUT,800
138,PUT,700
139,GET,600
140,GET,200
141,GET,100
142,GET,600
143,PUT,900
144,GET,20300
145,GET,700
146,GET,700
147,PUT,900
148,PUT,800
149,GET,700
150,GET,300
151,PUT,700
152,GET,300
153,GET,200
154,GET,100
155,PUT,700
156,GET,100
157,GET,600
158,PUT,800
159,PUT,700
160,GET,200
161,GET,200
162,GET,800
163,GET,800
164,PUT,800
165,GET,200
166,GET,800
167,GET,600
168,GET,200
169,GET,300
170,GET,600
171,GET,100
172,PUT,1100
173,GET,800
174,GET,400
175,GET,300
176,GET,600
177,GET,300
178,PUT,227600
179,GET,101000
180,GET,1300
181,PUT,3500
182,PUT,1000
183,GET,300
184,GET,300
185,GET,200
186,GET,200
187,PUT,1100
188,PUT,1000
189,GET,700
190,PUT,1000
191,GET,200
192,PUT,800
193,GET,500
194,GET,700
195,GET,200
196,GET,400
197,GET,100
198,GET,200
199,GET,200
200,PUT,1200
201,GET,300
202,GET,700
203,PUT,900
204,GET,200
205,GET,600
206,GET,500
207,PUT,1300
208,GET,300
209,GET,500
210,GET,500
211,PUT,900
212,PUT,800
213,GET,500
214,GET,300
215,GET,400
216,GET,200
217,GET,200
218,GET,300
219,GET,200
220,GET,1100
221,GET,400
222,PUT,1200
223,GET,300
224,PUT,1100
225,GET,300
226,GET,400
227,PUT,1100
228,GET,200
229,GET,100
230,GET,400
231,GET,300
232,GET,600
233,GET,200
